Frequency,Cp Avg,Cp Stdev,Loss Avg,Loss Stdev
100,5.37883E-11,1.16789E-11,0.06856746,0.01925477
104.713,5.36749E-11,1.16962E-11,0.066641266,0.017818712
109.648,5.34873E-11,1.15047E-11,0.062607502,0.021644191
114.815,5.3018E-11,1.17323E-11,0.075276246,0.011436726
120.226,5.29658E-11,1.15842E-11,0.075629022,0.014943164
125.893,5.27974E-11,1.15333E-11,0.079605672,0.011751412
131.826,5.2655E-11,1.16109E-11,0.082662106,0.016741923
138.038,5.25843E-11,1.15202E-11,0.08384838,0.013619602
144.544,5.23522E-11,1.14666E-11,0.084538812,0.01446049
151.356,5.22163E-11,1.12805E-11,0.083982158,0.011494566
158.489,5.1633E-11,1.12168E-11,0.087260212,0.009848051
165.959,5.18441E-11,1.16214E-11,0.08417583,0.014350859
173.78,5.19476E-11,1.14978E-11,0.081647136,0.016946254
181.97,5.18453E-11,1.12652E-11,0.08368776,0.018470044
190.546,5.16894E-11,1.121E-11,0.089022448,0.017286054
199.526,5.1505E-11,1.1283E-11,0.088731916,0.016372853
208.93,5.14207E-11,1.1264E-11,0.089007752,0.012358945
218.776,5.12633E-11,1.10333E-11,0.089001244,0.01315888
229.087,5.12033E-11,1.10705E-11,0.09112986,0.013590539
239.883,5.11563E-11,1.10347E-11,0.089950152,0.012983194
251.189,5.11359E-11,1.09154E-11,0.093699956,0.011021763
263.027,5.07132E-11,1.08605E-11,0.092270074,0.013965536
275.423,5.07339E-11,1.08423E-11,0.097326572,0.012329437
288.403,5.0818E-11,1.08109E-11,0.095272392,0.009975636
301.995,5.06546E-11,1.07692E-11,0.095796986,0.011013328
316.228,5.02291E-11,1.07394E-11,0.08982188,0.012007084
331.131,5.00429E-11,1.07532E-11,0.089648232,0.013915563
346.737,4.99196E-11,1.06172E-11,0.095523418,0.015157699
363.078,4.98179E-11,1.06375E-11,0.092872018,0.012381254
380.189,4.97153E-11,1.0531E-11,0.09588292,0.011211087
398.107,4.95244E-11,1.05133E-11,0.095865572,0.014038126
416.869,4.9375E-11,1.05504E-11,0.095796228,0.011348445
436.516,4.91583E-11,1.04405E-11,0.097238102,0.012379542
457.088,4.91024E-11,1.03966E-11,0.095974068,0.012846516
478.63,4.89129E-11,1.04058E-11,0.095305598,0.011347409
501.187,4.87809E-11,1.03198E-11,0.096556994,0.011722894
524.807,4.86248E-11,1.02751E-11,0.097446696,0.011271921
549.541,4.84612E-11,1.02832E-11,0.099159526,0.01195328
575.44,4.82331E-11,1.01747E-11,0.098588512,0.011143103
602.56,4.81568E-11,1.01534E-11,0.098360698,0.012011923
630.957,4.79474E-11,1.0142E-11,0.098519766,0.010101749
660.693,4.78732E-11,1.00738E-11,0.097334258,0.010593047
691.831,4.78059E-11,1.00094E-11,0.100637132,0.013642151
724.436,4.76342E-11,9.87329E-12,0.099535782,0.012891608
758.578,4.73768E-11,9.93257E-12,0.100643442,0.010489407
794.328,4.72474E-11,9.92655E-12,0.103105782,0.008490063
831.764,4.71376E-11,9.89361E-12,0.102807026,0.01055016
870.964,4.69424E-11,9.82929E-12,0.104277558,0.010946055
912.011,4.68122E-11,9.76961E-12,0.103644114,0.009945159
954.993,4.66904E-11,9.67906E-12,0.104211984,0.011057418
1000,4.65069E-11,9.64827E-12,0.106124984,0.009760435
1047.129,4.63683E-11,9.65018E-12,0.105357716,0.010074582
1096.478,4.62397E-11,9.59302E-12,0.105177258,0.010090179
1148.154,4.60859E-11,9.54728E-12,0.10550942,0.009083642
1202.264,4.59257E-11,9.53146E-12,0.105730996,0.009659598
1258.925,4.58219E-11,9.46964E-12,0.106612326,0.009234937
1318.257,4.56363E-11,9.39069E-12,0.106499566,0.010035354
1380.384,4.54941E-11,9.38217E-12,0.10688184,0.010208363
1445.44,4.53171E-11,9.38008E-12,0.107375576,0.009964881
1513.561,4.51689E-11,9.2609E-12,0.107641928,0.009669236
1584.893,4.50633E-11,9.21889E-12,0.108401478,0.010456258
1659.587,4.48884E-11,9.20241E-12,0.108202374,0.00933343
1737.801,4.47568E-11,9.10857E-12,0.107829672,0.009896074
1819.701,4.46022E-11,9.11746E-12,0.109064948,0.010473379
1905.461,4.44738E-11,9.09885E-12,0.11053666,0.008991882
1995.262,4.43184E-11,9.00551E-12,0.10960036,0.010062633
2089.296,4.4164E-11,8.94482E-12,0.11081642,0.009775135
2187.762,4.40291E-11,8.92368E-12,0.11133838,0.009800988
2290.868,4.38804E-11,8.92547E-12,0.11188464,0.009443396
2398.833,4.36802E-11,8.85483E-12,0.1128014,0.009752825
2511.886,4.35483E-11,8.82642E-12,0.11284034,0.009602394
2630.268,4.33898E-11,8.77006E-12,0.11333134,0.010235389
2754.229,4.3265E-11,8.74174E-12,0.11402088,0.010066009
2884.032,4.31035E-11,8.67498E-12,0.1148712,0.010715752
3019.952,4.29695E-11,8.62737E-12,0.11510066,0.010989625
3162.278,4.2788E-11,8.60584E-12,0.1163548,0.010689819
3311.311,4.26625E-11,8.59493E-12,0.11627488,0.010662139
3467.369,4.25142E-11,8.5365E-12,0.11687208,0.011167708
3630.781,4.23569E-11,8.45931E-12,0.11623778,0.011837672
3801.894,4.21721E-11,8.40796E-12,0.1167123,0.01193603
3981.072,4.19768E-11,8.40059E-12,0.11931536,0.011118562
4168.694,4.18703E-11,8.32561E-12,0.11857864,0.012220843
4365.158,4.17184E-11,8.29558E-12,0.11803284,0.012940107
4570.882,4.15918E-11,8.29985E-12,0.11803554,0.013267641
4786.301,4.14216E-11,8.22111E-12,0.11820492,0.013491888
5011.872,4.12774E-11,8.16006E-12,0.11789508,0.013039698
5248.075,4.11287E-11,8.14342E-12,0.11863456,0.014053328
5495.409,4.10163E-11,8.12084E-12,0.11856188,0.013199746
5754.399,4.08506E-11,8.03598E-12,0.1188113,0.013865476
6025.596,4.07064E-11,8.02135E-12,0.11885396,0.013400798
6309.573,4.05473E-11,7.94503E-12,0.1188156,0.014979593
6606.934,4.03969E-11,7.97429E-12,0.11873228,0.012171917
6918.31,4.02772E-11,7.96722E-12,0.11946614,0.015543623
7244.36,4.00981E-11,7.8214E-12,0.1206016,0.016097556
7585.776,3.99792E-11,7.81278E-12,0.12014328,0.015740537
7943.282,3.98077E-11,7.773E-12,0.12022354,0.01570381
8317.638,3.96698E-11,7.74302E-12,0.1198417,0.015425718
8709.636,3.95111E-11,7.6944E-12,0.11997054,0.016007061
9120.108,3.93701E-11,7.63819E-12,0.12043248,0.016395841
9549.926,3.92268E-11,7.62215E-12,0.12007342,0.016440754
10000,3.90742E-11,7.56477E-12,0.12013802,0.016596219
10471.285,3.89338E-11,7.52187E-12,0.12033882,0.016934769
10964.782,3.87748E-11,7.49212E-12,0.12161532,0.017596688
11481.536,3.86361E-11,7.46806E-12,0.12043858,0.017179005
12022.644,3.85038E-11,7.42259E-12,0.12059044,0.017697353
12589.254,3.83596E-11,7.3754E-12,0.12125072,0.018385566
13182.567,3.82179E-11,7.33406E-12,0.12084404,0.017672124
13803.843,3.80709E-11,7.29767E-12,0.12128082,0.017715192
14454.398,3.79331E-11,7.25675E-12,0.121396298,0.01877287
15135.612,3.78019E-11,7.22727E-12,0.12150242,0.018877816
15848.932,3.76417E-11,7.18747E-12,0.12196226,0.019165483
16595.869,3.75132E-11,7.14147E-12,0.12176898,0.019478016
17378.008,3.73847E-11,7.11322E-12,0.12220958,0.019519495
18197.009,3.72456E-11,7.07184E-12,0.12194224,0.019121656
19054.607,3.70986E-11,7.05117E-12,0.122335458,0.019894244
19952.623,3.69834E-11,7.02565E-12,0.12256016,0.020090515
20892.961,3.68306E-11,6.96994E-12,0.12177069,0.020679181
